行政區,站點名稱,可借車輛,可還空位,總車位數,營運狀態,地址,更新時間
大安區,捷運科技大樓站,1,27,28,正常營運,復興南路二段235號前,
大安區,復興南路二段273號前,14,7,21,正常營運,復興南路二段273號西側,
大安區,國北教大實小東側門,2,25,28,正常營運,和平東路二段96巷7號,
大安區,和平公園東側,7,4,11,正常營運,和平東路二段118巷33號,
大安區,辛亥復興路口西北側,11,5,16,正常營運,復興南路二段368號,
大安區,復興南路二段280號前,7,20,27,正常營運,復興南路二段280號,
大安區,復興南路二段340巷口,4,7,11,正常營運,復興南路二段342號,
大安區,新生南路三段52號前,8,9,17,正常營運,新生南路三段52號,
大安區,新生南路三段66號前,12,4,16,正常營運,新生南路三段66號東側,
大安區,新生南路三段82號前,10,10,20,正常營運,新生南路三段82號,
大安區,辛亥路一段30號前,2,6,8,正常營運,辛亥路一段30號,
大安區,和平復興路口西北側,3,6,9,正常營運,復興南路二段236號,
大安區,羅斯福路三段311號前,4,7,11,正常營運,羅斯福路三段311號,
大安區,大安運動中心停車場,4,15,19,正常營運,敦南街76巷28號,
大安區,羅斯福路三段245號前,1,7,8,正常營運,羅斯福路三段245號,
大安區,溫州公園,5,6,11,正常營運,羅斯福路三段283巷11號,
大安區,和平臥龍街口,5,19,24,正常營運,臥龍街1號,
大安區,溫州停車場,0,5,5,暫停營運,新生南路三段54巷/溫州街口,
大安區,銘傳國小側門,6,1,7,正常營運,羅斯福路四段21號旁天橋下,
大安區,捷運公館站(2號出口),36,29,99,正常營運,捷運公館站(2號出口)外側,
大安區,第二學生活動中心,69,18,87,正常營運,羅斯福路四段107號(西南側),
大安區,臺灣科技大學正門,47,3,50,正常營運,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),
大安區,臺灣科技大學側門,35,62,97,正常營運,基隆路四段73巷與基隆路口,
大安區,公館公園,14,16,30,正常營運,羅斯福路四段113巷基隆路四段41巷口,
大安區,臺灣科技大學後門,1,38,39,正常營運,基隆路四段41巷68弄臺科帆船大樓旁,
大安區,臺大醫學院附設癌醫中心,14,6,20,正常營運,基隆路三段155巷57號西側,
大安區,臺大環研大樓,1,40,41,正常營運,芳蘭路/基隆路三段155巷口,
大安區,臺大永齡生醫工程館,15,19,34,正常營運,芳蘭路51號西北側,
大安區,臺大男七舍前,0,20,20,正常營運,長興街/長興街80巷口西側,
大安區,臺大男一舍前,1,60,61,正常營運,長興街50號西北側,
大安區,臺大男六舍前,2,38,40,正常營運,大安區長興街31號,
大安區,臺大動物醫院前,1,17,18,正常營運,基隆路三段155巷/基隆路四段口,
大安區,臺大土木研究大樓前,10,14,24,正常營運,辛亥路三段188號,
大安區,臺大萬才館前,0,20,20,正常營運,臺大萬才館北側,
大安區,臺大國青大樓宿舍前,2,18,20,正常營運,辛亥路三段30號西北側,
大安區,臺大社科院圖書館前,18,9,27,正常營運,辛亥路與復興南路口西南側,
大安區,臺大法人語言訓練中心前,6,22,28,正常營運,臺大法人語言訓練中心北側,
大安區,臺大綜合體育館停車場前,15,10,25,正常營運,臺大綜合體育館北側,
大安區,辛亥新生路口東南側,26,23,50,正常營運,辛亥新生路口東南側,
大安區,基隆長興路口東側,0,15,15,正常營運,基隆長興路口東側,
大安區,國北教大側門南側,1,33,34,正常營運,敦南街51號,
大安區,和平實小東北側,0,25,25,正常營運,敦南街73號,
大安區,大安區健康服務中心,19,3,23,正常營運,辛亥路三段15號,
大安區,辛亥泰順街口,2,18,20,正常營運,辛亥泰順街口東南側,
大安區,臺北市芳和實驗中學,74,2,76,正常營運,臥龍街170號(前),
大安區,臥龍樂業街口,20,44,64,正常營運,臥龍街234-2號,
大安區,臥龍公園,0,25,25,正常營運,辛亥路三段223號西側,
大安區,嘉興公園,21,23,44,正常營運,樂業街101巷3號西北側,
大安區,捷運麟光站(2號出口),11,57,69,正常營運,和平東路三段420號東北側,
大安區,捷運六張犁站,4,59,64,正常營運,和平東路三段410號,
大安區,喬治工商,2,20,22,正常營運,基隆路二段166號,
大安區,法治公園,19,22,41,正常營運,通化街189號西側,
大安區,捷運臺電大樓站(2號出口),0,18,18,正常營運,辛亥路一段/羅斯福路三段口北側(辛亥路側),
大安區,和平金山路口,13,45,58,正常營運,和平東路一段/金山南路二段西南側,
大安區,和平龍泉街口,7,21,34,正常營運,和平東路一段/龍泉街口西南側,
大安區,和平泰順街口,5,13,19,正常營運,和平東路一段/泰順街口東南側,
大安區,臺灣師範大學(圖書館),40,0,40,正常營運,和平東路一段129號前,
大安區,捷運古亭站(6號出口),11,49,60,正常營運,羅斯福路二段41號前,
大安區,捷運古亭站(5號出口),0,14,14,暫停營運,和平東路一段19號前,
大安區,臺北市立圖書館(總館),56,11,67,正常營運,建國南路二段/建國南路二段151巷(橋下空間),
大安區,新生和平路口東北側,13,38,51,正常營運,新生南路二段與和平東路二段口東北側,
大安區,建國和平路口西北側,44,6,50,正常營運,建國南路二段與和平東路二段口西北側,
大安區,金華公園,24,19,44,正常營運,金華街249號對面,
大安區,捷運東門站(3號出口),0,0,18,暫停營運,信義路二段128號前,
大安區,金甌女中,1,14,15,正常營運,信義路二段與杭州南路二段東南側,
大安區,金杭公園,5,15,20,正常營運,愛國東路21巷與杭州南路二段25巷口東南側,
大安區,愛國金山路口,24,33,57,正常營運,愛國東路與杭州南路二段口西南側,
